mtu,zone,level,price_engine,price_official,diff,interval_low,interval_high,official_in_interval,volume_engine,volume_official,n_orders,coherence
24,MI,2,216.79,216.62,0.17,215.76,216.9,1,18339.3,18339.3,2247,OK
25,MI,2,223.02,223.38,-0.36,220.03,224.31,1,18792.7,18792.7,2306,OK
26,MI,2,231.0,231.2,-0.2,230.79,231.26,1,20874.0,20874.0,2289,OK
27,MI,2,233.99,233.99,0.0,233.89,233.99,1,21917.0,21917.0,2292,OK
28,MI,2,246.0,246.0,0.0,244.77,246.0,1,22390.2,22390.2,2290,OK
29,MI,2,231.87,231.98,-0.11,231.87,235.35,1,22280.8,22280.8,2340,OK
30,MI,2,237.27,237.27,0.0,237.27,240.0,1,22628.8,22628.8,2364,OK
31,MI,2,248.81,248.81,0.0,248.81,250.0,1,23263.4,23263.4,2395,OK
32,MI,2,244.14,243.78,0.36,242.02,244.14,1,23293.6,23293.6,2548,OK
33,MI,2,269.0,268.06,0.94,267.01,269.0,1,24904.2,24904.2,3191,OK
34,MI,2,241.95,241.51,0.44,239.73,242.27,1,24805.4,24805.4,3736,OK
35,MI,2,225.01,225.01,0.0,225.01,227.3,1,24822.1,24822.1,3835,OK
36,MI,2,197.87,197.87,0.0,197.87,197.99,1,23595.7,23595.7,3838,OK
37,MI,2,227.5,227.5,0.0,227.5,230.0,1,25566.3,25566.3,3774,OK
38,MI,2,212.6,212.6,0.0,212.6,213.59,1,25123.6,25123.6,3786,OK
39,MI,2,190.0,189.72,0.28,188.03,190.0,1,26409.3,26409.3,3770,OK
40,MI,2,158.99,158.99,0.0,156.43,158.99,1,28040.5,28040.5,3776,OK
41,MI,2,171.75,171.75,0.0,171.75,173.99,1,30181.3,30181.3,3762,OK
42,MI,2,129.0,129.0,0.0,124.83,129.0,1,31444.1,31444.1,3726,OK
43,MI,2,128.03,128.03,0.0,124.83,128.03,1,31925.0,31925.0,3664,OK
44,MI,2,112.06,112.06,0.0,109.5,112.06,1,32810.5,32810.5,3651,OK
45,ES,2,95.4,95.4,0.0,95.4,96.0,1,29445.3,29445.3,3647,OK
45,PT,2,100.0,100.0,0.0,100.0,100.0,1,3494.4,3505.3,3647,OK
46,ES,2,89.65,89.65,0.0,89.65,91.0,1,29596.5,29596.5,3649,OK
46,PT,2,90.0,90.0,0.0,90.0,90.0,1,3632.3,3632.4,3649,OK
47,MI,2,85.0,85.0,0.0,85.0,85.0,1,33302.8,33303.7,3629,OK
48,MI,2,71.36,71.19,0.17,70.36,71.36,1,33564.5,33564.5,3630,OK
49,MI,2,69.01,69.01,0.0,65.71,69.01,1,34584.5,34584.5,3640,OK
50,MI,2,55.0,54.98,0.02,50.0,55.0,1,34785.2,34785.2,3638,OK
51,MI,2,50.01,50.01,0.0,50.0,50.01,1,38104.7,38104.7,3667,OK
52,MI,2,50.0,50.0,0.0,50.0,50.0,1,38233.2,38265.2,3675,OK
53,MI,2,40.09,40.35,-0.26,40.0,43.0,1,38269.8,38269.8,3689,OK
54,MI,2,38.99,38.99,0.0,35.0,38.99,1,38392.7,38392.7,3695,OK
55,MI,2,38.55,38.55,0.0,35.0,38.55,1,38489.2,38489.2,3701,OK
56,MI,2,35.0,35.67,-0.67,35.0,38.0,1,38546.2,38546.2,3707,OK
57,MI,2,46.99,48.0,-1.01,42.0,50.0,1,38604.7,38604.7,3729,OK
58,MI,2,50.01,50.01,0.0,50.0,50.01,1,38706.9,38706.9,3733,OK
59,MI,2,50.01,50.08,-0.07,50.0,50.6,1,38768.4,38768.4,3739,OK
60,MI,2,55.0,51.0,4.0,50.0,55.0,1,38824.6,38824.6,3743,OK
61,MI,2,63.53,61.65,1.88,60.0,64.93,1,38953.0,38953.0,3743,OK
62,MI,2,58.75,59.41,-0.66,58.75,59.99,1,39018.8,39018.8,3749,OK
63,MI,2,50.01,50.01,0.0,50.0,50.01,1,39066.9,39066.9,3755,OK
64,MI,2,50.0,50.0,0.0,50.0,50.0,1,39053.9,39089.5,3754,OK
65,MI,2,55.94,55.94,0.0,55.0,55.94,1,39060.3,39060.3,3757,OK
66,MI,2,65.0,65.0,0.0,63.53,65.0,1,39082.1,39082.1,3768,OK
67,MI,2,75.0,75.0,0.0,70.0,75.0,1,39050.7,39050.7,3764,OK
68,MI,2,84.25,84.25,0.0,83.35,84.25,1,38937.3,38937.3,3765,OK
69,MI,2,89.9,89.9,0.0,89.65,89.9,1,38772.1,38772.1,3776,OK
70,MI,2,95.0,95.0,0.0,94.45,95.0,1,35009.3,35009.3,3763,OK
71,MI,2,100.0,100.0,0.0,100.0,100.0,1,34497.4,34508.7,3756,OK
72,MI,2,115.0,115.0,0.0,115.0,115.0,1,34015.7,34053.3,3751,OK
73,MI,2,119.01,119.01,0.0,119.0,119.01,1,32902.1,32902.1,3776,OK
74,MI,2,128.7,128.7,0.0,128.0,128.7,1,31503.7,31503.7,3821,OK
75,MI,2,160.0,160.0,0.0,159.0,160.0,1,31211.3,31211.3,3847,OK
76,MI,2,196.7,196.7,0.0,196.7,197.87,1,30206.7,30206.7,3875,OK
77,MI,2,171.75,171.75,0.0,171.75,172.47,1,29777.6,29777.6,3895,OK
78,MI,2,211.3,211.3,0.0,211.3,217.3,1,29631.9,29631.9,3868,OK
79,MI,2,226.0,226.0,0.0,226.0,226.41,1,30099.0,30099.0,3826,OK
80,MI,2,252.22,252.22,0.0,252.22,255.0,1,30185.9,30185.9,3679,OK
81,MI,2,250.01,250.01,0.0,250.01,256.31,1,30130.7,30130.7,3313,OK
82,MI,2,252.22,252.22,0.0,252.22,254.99,1,30045.7,30045.7,3009,OK
83,MI,2,244.21,245.93,-1.72,244.21,246.0,1,29463.8,29463.8,2644,OK
84,MI,2,239.34,238.7,0.64,237.98,239.34,1,28873.2,28873.2,2508,OK
85,MI,2,233.11,231.3,1.81,230.79,233.11,1,28553.6,28553.6,2368,OK
86,MI,2,226.75,226.54,0.21,226.0,227.2,1,27818.6,27818.6,2361,OK
87,MI,2,224.0,223.45,0.55,220.03,224.99,1,27035.4,27035.4,2371,OK
88,MI,2,208.0,208.0,0.0,207.5,209.22,1,24629.2,24629.2,2336,OK
89,MI,2,212.6,212.98,-0.38,212.6,215.29,1,26294.4,26294.4,2323,OK
90,MI,2,204.45,203.76,0.69,201.0,205.0,1,24855.7,24855.7,2318,OK
91,MI,2,200.0,200.0,0.0,200.0,200.0,1,24663.8,24696.9,2311,OK
92,MI,2,188.0,188.01,-0.01,185.49,188.62,1,24353.5,24353.5,2308,OK
93,MI,2,195.91,195.24,0.67,195.0,195.91,1,23583.1,23583.1,2284,OK
94,MI,2,186.99,187.35,-0.36,185.49,188.0,1,23579.3,23579.3,2282,OK
95,MI,2,180.0,180.67,-0.67,179.84,182.31,1,23408.0,23408.0,2272,OK
96,MI,2,171.0,171.05,-0.05,171.0,172.0,1,22964.7,22964.7,2272,OK
