period,zone,price_engine,price_official,diff,coherence
35,SARD,158.2,158.2,0.0,OK
36,NORD,158.2,158.2,0.0,OK
36,CNOR,158.2,158.2,0.0,OK
36,CSUD,158.2,158.2,0.0,OK
36,SUD,158.2,158.2,0.0,OK
36,CALA,158.2,158.2,0.0,OK
36,SICI,158.2,158.2,0.0,OK
36,SARD,158.2,158.2,0.0,OK
37,NORD,160.66,160.66,0.0,OK
37,CNOR,160.66,160.66,0.0,OK
37,CSUD,160.66,160.66,0.0,OK
37,SUD,160.66,160.66,0.0,OK
37,CALA,160.66,160.66,0.0,OK
37,SICI,160.66,160.66,0.0,OK
37,SARD,160.66,160.66,0.0,OK
38,NORD,158.43,158.43,0.0,OK
38,CNOR,158.43,158.43,0.0,OK
38,CSUD,158.43,158.43,0.0,OK
38,SUD,158.43,158.43,0.0,OK
38,CALA,158.43,158.43,0.0,OK
38,SICI,158.43,158.43,0.0,OK
38,SARD,158.43,158.43,0.0,OK
39,NORD,158.2,158.2,0.0,OK
39,CNOR,158.2,158.2,0.0,OK
39,CSUD,158.2,158.2,0.0,OK
39,SUD,158.2,158.2,0.0,OK
39,CALA,158.2,158.2,0.0,OK
39,SICI,158.2,158.2,0.0,OK
39,SARD,158.2,158.2,0.0,OK
40,NORD,157.0,157.0,0.0,OK
40,CNOR,157.0,157.0,0.0,OK
40,CSUD,157.0,157.0,0.0,OK
40,SUD,157.0,157.0,0.0,OK
40,CALA,157.0,157.0,0.0,OK
40,SICI,157.0,157.0,0.0,OK
40,SARD,157.0,157.0,0.0,OK
41,NORD,158.2,158.2,0.0,OK
41,CNOR,158.2,158.2,0.0,OK
41,CSUD,158.2,158.2,0.0,OK
41,SUD,158.2,158.2,0.0,OK
41,CALA,158.2,158.2,0.0,OK
41,SICI,158.2,158.2,0.0,OK
41,SARD,158.2,158.2,0.0,OK
42,NORD,153.45,153.45,0.0,OK
42,CNOR,153.45,153.45,0.0,OK
42,CSUD,153.45,153.45,0.0,OK
42,SUD,153.45,153.45,0.0,OK
42,CALA,153.45,153.45,0.0,OK
42,SICI,153.45,153.45,0.0,OK
42,SARD,153.45,153.45,0.0,OK
43,NORD,137.81,137.81,0.0,OK
43,CNOR,137.81,137.81,0.0,OK
43,CSUD,137.81,137.81,0.0,OK
43,SUD,137.81,137.81,0.0,OK
43,CALA,137.81,137.81,0.0,OK
43,SICI,137.81,137.81,0.0,OK
43,SARD,95.49,95.49,0.0,OK
44,NORD,134.54,134.54,0.0,OK
44,CNOR,134.54,134.54,0.0,OK
44,CSUD,134.54,134.54,0.0,OK
44,SUD,134.54,134.54,0.0,OK
44,CALA,134.54,134.54,0.0,OK
44,SICI,134.54,134.54,0.0,OK
44,SARD,87.29,87.29,0.0,OK
45,NORD,144.0,144.0,0.0,OK
45,CNOR,144.0,144.0,0.0,OK
45,CSUD,144.0,144.0,0.0,OK
45,SUD,144.0,144.0,0.0,OK
45,CALA,144.0,144.0,0.0,OK
45,SICI,144.0,144.0,0.0,OK
45,SARD,55.0,55.0,0.0,OK
46,NORD,144.0,144.0,0.0,OK
46,CNOR,144.0,144.0,0.0,OK
46,CSUD,144.0,144.0,0.0,OK
46,SUD,144.0,144.0,0.0,OK
46,CALA,144.0,144.0,0.0,OK
46,SICI,144.0,144.0,0.0,OK
46,SARD,55.0,55.0,0.0,OK
47,NORD,134.54,134.54,0.0,OK
