period,arc,flow_engine,flow_official,limit,limit_reverse
30,CSUD-SUD,-1643.1,-1643.1,2443.0,5234.0
31,CALA-SICI,182.8,182.8,1650.0,1405.0
31,CALA-SUD,318.8,318.8,1882.0,1273.0
31,CNOR-CSUD,-542.4,-542.4,2301.0,3782.0
31,CNOR-NORD,-1409.5,-1409.5,2834.0,3071.0
31,CSUD-SARD,-230.3,-230.3,720.0,900.0
31,CSUD-SUD,-1775.7,-1775.7,2443.0,5234.0
32,CALA-SICI,131.8,131.8,1650.0,1405.0
32,CALA-SUD,378.4,378.4,1882.0,1273.0
32,CNOR-CSUD,-838.5,-838.5,2301.0,3782.0
32,CNOR-NORD,-1103.9,-1103.9,2834.0,3071.0
32,CSUD-SARD,-312.4,-312.4,720.0,900.0
32,CSUD-SUD,-1893.3,-1893.3,2443.0,5234.0
33,CALA-SICI,-50.5,-50.5,1633.0,1615.0
33,CALA-SUD,583.8,583.8,1816.0,1424.0
33,CNOR-CSUD,-1148.7,-1148.7,2264.0,3805.0
33,CNOR-NORD,-885.5,-885.5,3151.0,2852.0
33,CSUD-SARD,-389.4,-389.4,720.0,900.0
33,CSUD-SUD,-2268.8,-2268.8,3115.0,5160.0
34,CALA-SICI,-108.0,-108.0,1633.0,1615.0
34,CALA-SUD,645.9,645.9,1816.0,1424.0
34,CNOR-CSUD,-1531.6,-1531.6,2264.0,3805.0
34,CNOR-NORD,-413.6,-413.6,3151.0,2852.0
34,CSUD-SARD,-450.6,-450.6,720.0,900.0
34,CSUD-SUD,-2423.3,-2423.3,3115.0,5160.0
35,CALA-SICI,213.4,213.4,1633.0,1615.0
35,CALA-SUD,343.0,343.0,1816.0,1424.0
35,CNOR-CSUD,-1441.9,-1441.9,2264.0,3805.0
35,CNOR-NORD,-435.5,-435.5,3151.0,2852.0
35,CSUD-SARD,-500.6,-500.6,720.0,900.0
35,CSUD-SUD,-2215.4,-2215.4,3115.0,5160.0
36,CALA-SICI,126.9,126.9,1633.0,1615.0
36,CALA-SUD,429.9,429.9,1816.0,1424.0
36,CNOR-CSUD,-1281.0,-1281.0,2264.0,3805.0
36,CNOR-NORD,-559.8,-559.8,3151.0,2852.0
36,CSUD-SARD,-562.5,-562.5,720.0,900.0
36,CSUD-SUD,-2191.9,-2191.9,3115.0,5160.0
37,CALA-SICI,-355.8,-355.8,1633.0,1615.0
37,CALA-SUD,922.4,922.4,1816.0,1424.0
37,CNOR-CSUD,-1634.4,-1634.4,2364.0,3805.0
37,CNOR-NORD,-223.4,-223.4,3251.0,2852.0
37,CSUD-SARD,-678.7,-678.7,720.0,900.0
37,CSUD-SUD,-2557.2,-2557.2,3115.0,5160.0
38,CALA-SICI,-398.5,-398.5,1633.0,1615.0
38,CALA-SUD,967.7,967.7,1816.0,1424.0
38,CNOR-CSUD,-1915.3,-1915.3,2364.0,3805.0
38,CNOR-NORD,29.5,29.5,3251.0,2852.0
38,CSUD-SARD,-727.4,-727.4,720.0,900.0
38,CSUD-SUD,-2665.8,-2665.8,3115.0,5160.0
39,CALA-SICI,-219.0,-219.0,1633.0,1615.0
39,CALA-SUD,780.6,780.6,1816.0,1424.0
39,CNOR-CSUD,-2030.1,-2030.1,2364.0,3805.0
39,CNOR-NORD,257.2,257.2,3251.0,2852.0
39,CSUD-SARD,-745.7,-745.7,720.0,900.0
39,CSUD-SUD,-2641.5,-2641.5,3115.0,5160.0
40,CALA-SICI,188.6,180.7,1633.0,1615.0
40,CALA-SUD,360.2,369.6,1816.0,1424.0
40,CNOR-CSUD,-1775.1,-1787.3,2364.0,3805.0
40,CNOR-NORD,-39.8,-15.8,3251.0,2852.0
40,CSUD-SARD,-803.7,-803.7,720.0,900.0
40,CSUD-SUD,-2262.6,-2265.1,3115.0,5160.0
41,CALA-SICI,-55.1,-55.1,1661.0,1634.0
41,CALA-SUD,672.3,672.3,1725.0,1611.0
41,CNOR-CSUD,-2466.7,-2466.7,2501.0,3788.0
41,CNOR-NORD,796.2,796.2,3313.0,3032.0
41,CSUD-SARD,-894.6,-894.6,720.0,900.0
41,CSUD-SUD,-2672.1,-2672.1,3043.0,5198.0
42,CALA-SICI,62.0,62.0,1661.0,1634.0
42,CALA-SUD,571.3,571.3,1725.0,1611.0
42,CNOR-CSUD,-2644.3,-2644.3,2501.0,3788.0
42,CNOR-NORD,1015.4,1015.4,3313.0,3032.0
42,CSUD-SARD,-893.8,-893.8,720.0,900.0
42,CSUD-SUD,-2706.5,-2706.5,3043.0,5198.0
43,CALA-SICI,63.6,63.6,1661.0,1634.0
43,CALA-SUD,576.1,576.1,1725.0,1611.0
43,CNOR-CSUD,-2714.7,-2714.7,2501.0,3788.0
43,CNOR-NORD,1088.4,1088.4,3313.0,3032.0
43,CSUD-SARD,-900.0,-900.0,720.0,900.0
43,CSUD-SUD,-2783.4,-2783.4,3043.0,5198.0
44,CALA-SICI,66.5,66.5,1661.0,1634.0
44,CALA-SUD,587.5,587.5,1725.0,1611.0
44,CNOR-CSUD,-2699.1,-2699.1,2501.0,3788.0
44,CNOR-NORD,1083.1,1083.1,3313.0,3032.0
44,CSUD-SARD,-900.0,-900.0,720.0,900.0
44,CSUD-SUD,-2762.1,-2762.1,3043.0,5198.0
45,CALA-SICI,-88.5,-88.5,1661.0,1634.0
45,CALA-SUD,26.4,26.4,1725.0,1611.0
45,CNOR-CSUD,-2692.3,-2692.3,2601.0,3788.0
45,CNOR-NORD,1277.7,1277.7,3313.0,3032.0
45,CSUD-SARD,-900.0,-900.0,720.0,900.0
45,CSUD-SUD,-2419.3,-2419.3,3043.0,5198.0
46,CALA-SICI,-100.4,-100.4,1661.0,1634.0
46,CALA-SUD,41.8,41.8,1725.0,1611.0
46,CNOR-CSUD,-2701.0,-2701.0,2601.0,3788.0
46,CNOR-NORD,1227.0,1227.0,3313.0,3032.0
46,CSUD-SARD,-900.0,-900.0,720.0,900.0
46,CSUD-SUD,-2428.7,-2428.7,3043.0,5198.0
47,CALA-SICI,-179.4,-179.4,1661.0,1634.0
47,CALA-SUD,140.5,140.5,1725.0,1611.0
47,CNOR-CSUD,-2883.1,-2883.1,2601.0,3788.0
47,CNOR-NORD,1461.0,1461.0,3313.0,3032.0
47,CSUD-SARD,-900.0,-900.0,720.0,900.0
47,CSUD-SUD,-2560.4,-2560.4,3043.0,5198.0
48,CALA-SICI,-200.7,-200.7,1661.0,1634.0
48,CALA-SUD,169.6,169.6,1725.0,1611.0
48,CNOR-CSUD,-2877.9,-2877.9,2601.0,3788.0
48,CNOR-NORD,1503.9,1503.9,3313.0,3032.0
48,CSUD-SARD,-726.5,-726.5,720.0,900.0
48,CSUD-SUD,-2653.6,-2653.6,3043.0,5198.0
49,CALA-SICI,-279.8,-279.8,1673.0,1607.0
49,CALA-SUD,264.0,264.0,1725.0,1602.0
49,CNOR-CSUD,-2640.0,-2604.8,3300.0,3832.0
49,CNOR-NORD,1442.3,1407.1,3380.0,3000.0
49,CSUD-SARD,-633.0,-633.0,720.0,900.0
49,CSUD-SUD,-2567.9,-2532.7,2400.0,5309.0
50,CALA-SICI,-268.8,-268.8,1673.0,1607.0
50,CALA-SUD,227.4,227.4,1725.0,1602.0
50,CNOR-CSUD,-2468.2,-2433.0,3300.0,3832.0
50,CNOR-NORD,1259.1,1223.9,3380.0,3000.0
50,CSUD-SARD,-615.0,-615.0,720.0,900.0
50,CSUD-SUD,-2386.1,-2350.9,2400.0,5309.0
